kind,series,category,x,value,pixel_x,pixel_y,radius,fill,confidence,value_status,x2,y2,stroke,stroke_width
point,Rigid,visible curve marker,37.5,3.356579,460.056,1012.0,7,#808080,0.095,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,35.0,visible path,438.852,1013.0,,none,,raster_supported_connection,460.056,1012.0,#808080,2
point,Rigid,visible curve marker,40.0,3.355263,481.259,1013.0,7,#808080,0.095,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,37.5,visible path,460.056,1012.0,,none,,raster_supported_connection,481.259,1013.0,#808080,2
point,Rigid,visible curve marker,42.5,3.356579,502.463,1012.0,7,#808080,0.095,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,40.0,visible path,481.259,1013.0,,none,,raster_supported_connection,502.463,1012.0,#808080,2
point,Rigid,visible curve marker,45.0,3.355263,523.667,1013.0,7,#808080,0.048,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,42.5,visible path,502.463,1012.0,,none,,raster_supported_connection,523.667,1013.0,#808080,2
point,Rigid,visible curve marker,47.5,3.355263,544.87,1013.0,7,#808080,0.095,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,45.0,visible path,523.667,1013.0,,none,,raster_supported_connection,544.87,1013.0,#808080,2
point,Rigid,visible curve marker,50.0,3.356579,566.074,1012.0,7,#808080,0.095,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,47.5,visible path,544.87,1013.0,,none,,raster_supported_connection,566.074,1012.0,#808080,2
